Provider,PotentialFraud,phy_same,phy_count,period,periodadmt,age,alife,provider_InscClaimAmtReimbursed_mean,provider_DeductibleAmtPaid_mean,provider_NoOfMonths_PartACov_mean,provider_NoOfMonths_PartBCov_mean,provider_IPAnnualReimbursementAmt_mean,provider_IPAnnualDeductibleAmt_mean,provider_OPAnnualReimbursementAmt_mean,provider_OPAnnualDeductibleAmt_mean,provider_InscClaimAmtReimbursed_std,provider_DeductibleAmtPaid_std,provider_NoOfMonths_PartACov_std,provider_NoOfMonths_PartBCov_std,provider_IPAnnualReimbursementAmt_std,provider_IPAnnualDeductibleAmt_std,provider_OPAnnualReimbursementAmt_std,provider_OPAnnualDeductibleAmt_std,banel_InscClaimAmtReimbursed_mean,banel_DeductibleAmtPaid_mean,banel_NoOfMonths_PartACov_mean,banel_NoOfMonths_PartBCov_mean,banel_IPAnnualReimbursementAmt_mean,banel_IPAnnualDeductibleAmt_mean,banel_OPAnnualReimbursementAmt_mean,banel_OPAnnualDeductibleAmt_mean,banel_InscClaimAmtReimbursed_std,banel_DeductibleAmtPaid_std,banel_NoOfMonths_PartACov_std,banel_NoOfMonths_PartBCov_std,banel_IPAnnualReimbursementAmt_std,banel_IPAnnualDeductibleAmt_std,banel_OPAnnualReimbursementAmt_std,banel_OPAnnualDeductibleAmt_std,diag1_InscClaimAmtReimbursed_mean,diag1_DeductibleAmtPaid_mean,diag1_NoOfMonths_PartACov_mean,diag1_NoOfMonths_PartBCov_mean,diag1_IPAnnualReimbursementAmt_mean,diag1_IPAnnualDeductibleAmt_mean,diag1_OPAnnualReimbursementAmt_mean,diag1_OPAnnualDeductibleAmt_mean,diag1_InscClaimAmtReimbursed_std,diag1_DeductibleAmtPaid_std,diag1_NoOfMonths_PartACov_std,diag1_NoOfMonths_PartBCov_std,diag1_IPAnnualReimbursementAmt_std,diag1_IPAnnualDeductibleAmt_std,diag1_OPAnnualReimbursementAmt_std,diag1_OPAnnualDeductibleAmt_std
PRV51001,0,2.96,1.6,1.44,1.0,80.24,1.0,4185.6,213.6,12.0,12.0,17606.0,897.12,2615.2,463.92,10796.09114448373,436.0091742154057,0.0,0.0,38895.47745775422,1332.5056697815587,2974.1765246871278,635.7823212389599,3284.621746031746,184.47719624819626,12.0,12.0,17606.0,897.12,2615.2,463.92,4972.142170740862,216.06063180415833,0.0,0.0,0.0,0.0,0.0,0.0,2441.6429856095874,168.86974950836623,11.945072489200827,11.965687401293058,7579.093007941477,717.6620267920335,1804.3310943308777,543.0450836946599,3482.0663095954556,161.35302697515178,0.5699449109406377,0.42419154024571354,12941.552352108569,1205.2971437642184,2450.0767714294484,661.5066723270218
PRV51003,1,2.4393939393939394,1.5303030303030303,3.6742424242424243,2.4242424242424243,71.37121212121212,0.9924242424242424,4588.409090909091,502.1666666666667,11.818181818181818,11.871212121212121,7568.181818181818,931.4242424242424,2678.181818181818,737.1212121212121,7309.794728746168,534.5824391278849,1.4714493131581583,1.128434049930608,10040.975578205022,1059.57492644519,5190.714819088216,1517.084150953179,2195.609117165267,215.6182758319122,11.818181818181818,11.871212121212121,7568.181818181818,931.4242424242424,2678.181818181818,737.1212121212121,2366.6032347909686,287.7081598776917,0.0,0.0,0.0,0.0,0.0,0.0,3060.2785814237445,276.57454613108376,11.926129688099879,11.932207614835539,8005.3531662583855,840.8903049582976,2422.4585993363576,676.3139845937345,4017.8710659990115,260.25706932040856,0.7265720251346317,0.6532850906516817,12620.604411378345,1226.306633017068,3369.338617036155,848.2136751039754
PRV51004,0,2.8187919463087248,1.604026845637584,1.429530201342282,0.0,73.51677852348993,0.9932885906040269,350.13422818791946,2.0805369127516777,11.865771812080537,11.95973154362416,4351.879194630873,434.9530201342282,2194.8993288590605,622.751677852349,689.9637540197714,11.166744050203258,1.1068442975097277,0.4915391523114241,9889.562978424596,945.2368667505864,3198.010914203455,873.1914584182548,779.8841946761586,49.99370196662319,11.865771812080537,11.95973154362416,4351.879194630873,434.9530201342282,2194.8993288590605,622.751677852349,1432.891305269779,106.51291114518096,0.0,0.0,0.0,0.0,0.0,0.0,855.5208540609921,52.27437385244876,11.938651631723806,11.94543648636135,5143.03938075531,555.9078700776032,2430.0179266203904,694.246880781548,1536.290845051748,113.08625742054743,0.6677193391697241,0.5774201741476243,11016.516937251086,1111.5924052889313,2972.377915525298,808.138208089665
PRV51005,1,2.7313304721030045,1.5991416309012876,1.088412017167382,0.0,71.78369098712446,0.9965665236051502,241.1244635193133,3.1759656652360513,11.907296137339056,11.939914163090128,3623.991416309013,379.16223175965666,2109.733905579399,636.3287553648069,491.556391867259,17.026584404796676,1.0510949873996223,0.7950631560945078,9688.52656637828,751.597235273399,3960.2110848223,845.696040566471,692.6324903536008,49.69727810453319,11.907296137339056,11.939914163090128,3623.991416309013,379.16223175965666,2109.733905579399,636.3287553648069,1324.4380783195772,112.867285741936,0.0,0.0,0.0,0.0,0.0,0.0,598.5894085439097,39.38340245788981,11.931439723568666,11.94190921214097,4512.202279673223,495.24117706982355,2195.953525874826,630.8059854381239,1234.005089798305,91.14125235923845,0.6570709117615561,0.5659297331409272,10021.329571905795,957.701391433239,2727.94408259004,737.4198778165056
PRV51007,0,2.736111111111111,1.5277777777777777,0.9583333333333334,0.2222222222222222,70.58333333333333,0.9861111111111112,468.19444444444446,45.333333333333336,11.833333333333334,11.833333333333334,3050.0,445.0,1729.7222222222222,469.72222222222223,1433.7691157058027,214.82072447036353,1.4142135623730951,1.4142135623730951,5682.560174854734,796.6005944275045,1623.8755348667137,518.8855126845086,797.37351266605,77.37964881409154,11.833333333333334,11.833333333333334,3050.0,445.0,1729.7222222222222,469.72222222222223,1351.0686801111915,134.9643139107786,0.0,0.0,0.0,0.0,0.0,0.0,698.8972941462594,46.217320589714156,11.934818468643446,11.94395504854166,4807.31132605917,549.8597043013112,2089.969651497332,606.5503336024229,1519.4259927454111,103.30216606963111,0.6265421298005049,0.5201217815472637,10565.761429201086,1126.3582063498,2486.8270690193585,682.2792756102759
PRV51008,0,2.813953488372093,1.5348837209302326,1.5348837209302326,0.18604651162790697,77.02325581395348,1.0,828.6046511627907,53.86046511627907,12.0,12.0,6592.093023255814,620.9302325581396,2570.4651162790697,616.046511627907,3224.765463155236,227.45523697719062,0.0,0.0,15111.833987551976,995.1428084965123,3546.637544739264,741.0678894897413,826.8624623210806,67.42700781510631,12.0,12.0,6592.093023255814,620.9302325581396,2570.4651162790697,616.046511627907,1652.3766532506856,152.95925091747787,0.0,0.0,0.0,0.0,0.0,0.0,688.1781865167095,74.38159692794683,11.947054894333872,11.947453053640578,5343.2405156277655,599.6585398947798,2704.348474047243,751.0794494169301,1233.31139025146,136.4274582790315,0.5415461638622776,0.5242077166439382,10588.87851321214,1012.9832454482557,2913.7467304237484,797.7260834963259
PRV51011,0,2.6551724137931036,1.5689655172413792,0.5517241379310345,0.08620689655172414,75.79310344827586,0.9827586206896551,286.7241379310345,23.586206896551722,12.0,12.0,4414.827586206897,674.2758620689655,1399.3103448275863,366.7241379310345,701.0478070917784,140.92165728028857,0.0,0.0,7314.270656252055,1280.311390208791,1326.3958051128373,275.753436338974,645.0727347365279,74.69420062695926,12.0,12.0,4414.827586206897,674.2758620689655,1399.3103448275863,366.7241379310345,1256.4773623450774,167.63296947611715,0.0,0.0,0.0,0.0,0.0,0.0,795.8433472082799,66.06634941065225,11.95089713861853,11.939380679546279,5113.190215920396,647.0273965597843,1986.5486960212522,592.4574785280428,1468.8220141244474,113.07211975345206,0.5209808419389353,0.541797623622775,10046.315771975373,1055.3693637179751,2402.7889960512375,687.0295950063871
PRV51012,0,2.6666666666666665,1.4791666666666667,3.7083333333333335,0.0,75.89583333333333,1.0,351.875,2.0833333333333335,12.0,11.5,6935.416666666667,839.9166666666666,3793.9583333333335,735.2083333333334,707.8936578689371,14.433756729740638,0.0,2.423291238281506,10616.797000324495,1235.2194711240472,8052.69209368356,1309.4273388293673,930.9478782973848,74.31574627857522,12.0,11.5,6935.416666666667,839.9166666666666,3793.9583333333335,735.2083333333334,1892.7473739173709,173.24658172965317,0.0,0.0,0.0,0.0,0.0,0.0,541.9907533187342,39.84414944762405,11.937490429575057,11.94921281874901,4642.542818744083,530.1180799619805,2645.2068498560425,747.6618600046598,962.1213272065443,91.40909896405616,0.6094430211812458,0.5432115752969464,10051.207769659024,990.7037682390857,3112.8754503371633,850.0236311672071
PRV51013,0,2.5869565217391304,1.565217391304348,1.4565217391304348,0.0,75.84782608695652,1.0,323.4782608695652,5.0,12.0,12.0,3635.6521739130435,593.304347826087,3226.521739130435,914.7826086956521,471.622341339171,19.748417658131498,0.0,0.0,7643.826747316763,1616.480248627523,5385.073699027837,1523.1877963015368,689.0867201142137,60.68588030327161,12.0,12.0,3635.6521739130435,593.304347826087,3226.521739130435,914.7826086956521,1056.0226027048177,115.45386553521736,0.0,0.0,0.0,0.0,0.0,0.0,664.5228586737586,38.20222673683557,11.931251025383334,11.942151714156443,4831.922793803499,592.1973767190875,2742.7863467222664,760.0506532471377,1055.8405153374463,76.58734324893966,0.6236472719400372,0.4480539154033743,10362.525964732704,1234.0837966551633,2881.737111018949,753.9975204701624
PRV51014,0,2.533333333333333,1.9666666666666666,0.4666666666666667,0.0,72.53333333333333,0.9666666666666667,349.3333333333333,4.0,12.0,12.0,2786.3333333333335,427.2,1742.3333333333333,649.3333333333334,822.984196996362,14.52702594334507,0.0,0.0,4484.440904938436,663.7144379719442,1440.2578393045326,645.7977335386663,705.4849206349206,64.02809523809523,12.0,12.0,2786.3333333333335,427.2,1742.3333333333333,649.3333333333334,1327.9464028249893,141.79639528729396,0.0,0.0,0.0,0.0,0.0,0.0,642.028339051614,60.73121197373657,11.938596059372081,11.937666663358211,4602.059480615363,517.3224928616588,2056.8162401602194,618.3934236515038,1355.4056920670187,136.24877194091692,0.5985022897101057,0.5263888944863871,9946.560554480622,965.6229506198518,2934.1549429050124,774.3257312142634
